L1 Block Size,L1 Cache Size,L1 Associativity,Energy,Timing,General,Mobile,Commercial
-0.777603758,-0.812414704,-0.752938644,-0.328145758,-0.359130846,-0.138380064,-0.091390908,-0.091145622
0.743935989,-0.812414704,-0.562540366,0.065356333,0.039705155,-0.113671889,-0.091338351,-0.091084303
-0.434030266,0.470185956,-0.752938644,-0.249832967,-0.258136541,-0.136143355,-0.091390485,-0.091144716
-0.041374848,-0.904029036,-0.562540366,-0.134967967,-0.175346181,-0.131287998,-0.091386305,-0.091140058
-0.72852183,1.936015281,2.103035524,-0.283615804,-0.228699512,-0.1365707,-0.091390728,-0.091144592
-0.777603758,-0.812414704,0.579849301,-0.328251322,-0.31127723,-0.138132247,-0.091390903,-0.091145533
-0.777603758,1.936015281,-0.848137783,-0.304116679,-0.296916066,-0.137642582,-0.091390859,-0.091145399
2.314557664,1.936015281,-0.848137783,1.171267421,0.979771194,0.123627907,-0.084549206,-0.085541811
2.314557664,-0.262728707,-0.848137783,2.618664702,2.54206871,0.929285379,0.013200806,0.009435364
2.314557664,0.470185956,-0.562540366,-0.041327461,-0.052396442,-0.123450587,-0.091372569,-0.091121171
-0.777603758,0.470185956,-0.562540366,-0.320288208,-0.301154796,-0.137946729,-0.091390892,-0.091145476
-0.777603758,-0.262728707,-0.848137783,-0.322067685,-0.323935227,-0.138111754,-0.091390899,-0.091145553
0.743935989,-0.812414704,-0.848137783,1.750007391,1.744875868,0.416464194,-0.064018562,-0.063073075
0.743935989,1.936015281,2.103035524,-0.139683257,-0.109410668,-0.129605885,-0.091385496,-0.091134978
-0.72852183,-0.629186038,-0.752938644,-0.312801947,-0.334430334,-0.138056408,-0.091390889,-0.091145563
-0.777603758,-0.904029036,-0.181743811,-0.325776433,-0.338301913,-0.13824249,-0.091390904,-0.09114559
0.743935989,-0.629186038,2.103035524,-0.110892193,-0.079539741,-0.127531459,-0.091382522,-0.091130104
-0.72852183,0.470185956,-0.562540366,-0.306177252,-0.291156121,-0.137632834,-0.091390862,-0.091145376
-0.434030266,1.936015281,2.103035524,-0.229293393,-0.184484407,-0.13443896,-0.091389948,-0.091142624
-0.72852183,-0.629186038,-0.562540366,-0.313484671,-0.319452298,-0.137960705,-0.091390886,-0.091145521
-0.630357976,0.470185956,-0.562540366,-0.28331843,-0.272335486,-0.137024874,-0.091390765,-0.09114512
0.743935989,1.936015281,-0.562540366,-0.145118885,-0.156009712,-0.131085699,-0.091386579,-0.091139039
